# keyframe format v1
fps 0

0 I -1
61 I -1
193 I -1
238 I -1
296 I -1
460 I -1
607 I -1
743 I -1
875 I -1
1137 I -1
1227 I -1
1284 I -1
1344 I -1
1416 I -1
1719 I -1
1791 I -1
1833 I -1
1872 I -1
1902 I -1
1929 I -1
1965 I -1
1991 I -1
2007 I -1
2055 I -1
2095 I -1
2096 I -1
2097 I -1
2098 I -1
2118 I -1
2157 I -1
2222 I -1
2241 I -1
2290 I -1
2297 I -1
2346 I -1
2423 I -1
2595 I -1
2625 I -1
2664 I -1
2685 I -1
2712 I -1
2750 I -1
2766 I -1
2802 I -1
2892 I -1
2982 I -1
3081 I -1
3123 I -1
3175 I -1
3230 I -1
3320 I -1
3401 I -1
3449 I -1
3573 I -1
3646 I -1
3986 I -1
4056 I -1
4092 I -1
4236 I -1
4282 I -1
4602 I -1
4758 I -1
4899 I -1
4940 I -1
5106 I -1
5172 I -1
5223 I -1
5397 I -1
5596 I -1
5656 I -1
5860 I -1
5979 I -1
6025 I -1
6058 I -1
6201 I -1
6340 I -1
6400 I -1
6443 I -1
6596 I -1
6677 I -1
6771 I -1
6841 I -1
7077 I -1
7275 I -1
7365 I -1
7413 I -1
7449 I -1
7581 I -1
7701 I -1
7941 I -1
7987 I -1
8249 I -1
8281 I -1
8488 I -1
8552 I -1
8606 I -1
8672 I -1
8780 I -1
8840 I -1
9065 I -1
9137 I -1
9185 I -1
9245 I -1
9329 I -1
9340 I -1
9341 I -1
9413 I -1
9473 I -1
9545 I -1
9605 I -1
9701 I -1
9889 I -1
9989 I -1
10049 I -1
10151 I -1
10217 I -1
10313 I -1
10361 I -1
10403 I -1
10553 I -1
10667 I -1
10727 I -1
11015 I -1
11123 I -1
11165 I -1
11489 I -1
11585 I -1
11681 I -1
11777 I -1
11879 I -1
11963 I -1
12140 I -1
12310 I -1
12543 I -1
12610 I -1
12656 I -1
12740 I -1
12800 I -1
12872 I -1
12980 I -1
13016 I -1
13076 I -1
13136 I -1
13184 I -1
13349 I -1
13419 I -1
13708 I -1
13744 I -1
13894 I -1
13984 I -1
14152 I -1
14200 I -1
14320 I -1
14543 I -1
14628 I -1
14700 I -1
14742 I -1
14778 I -1
14947 I -1
15031 I -1
15265 I -1
15409 I -1
15508 I -1
15616 I -1
15729 I -1
15903 I -1
15999 I -1
16071 I -1
16155 I -1
16217 I -1
16331 I -1
16619 I -1
16691 I -1
16778 I -1
16838 I -1
16879 I -1
17135 I -1
17375 I -1
17423 I -1
17499 I -1
17543 I -1
17863 I -1
17970 I -1
18163 I -1
18241 I -1
18271 I -1
18301 I -1
18329 I -1
18361 I -1
18517 I -1
18714 I -1
18797 I -1
18881 I -1
19013 I -1
19133 I -1
19293 I -1
19376 I -1
19448 I -1
19710 I -1
19758 I -1
19812 I -1
19904 I -1
20004 I -1
20070 I -1
20238 I -1
20277 I -1
20553 I -1
20601 I -1
20757 I -1
20853 I -1
20913 I -1
20984 I -1
21032 I -1
21081 I -1
21188 I -1
21290 I -1
21422 I -1
21614 I -1
21659 I -1
21720 I -1
21876 I -1
21903 I -1
22055 I -1
22163 I -1
22253 I -1
22373 I -1
22409 I -1
22469 I -1
22541 I -1
22766 I -1
22802 I -1
22850 I -1
22982 I -1
23054 I -1
23282 I -1
23323 I -1
23427 I -1
23553 I -1
23830 I -1
23917 I -1
24182 I -1
24227 I -1
24317 I -1
24431 I -1
24527 I -1
24713 I -1
24782 I -1
24812 I -1
24830 I -1
24833 I -1
24836 I -1
24848 I -1
24912 I -1
24942 I -1
25038 I -1
25206 I -1
25431 I -1
25527 I -1
25587 I -1
25623 I -1
25725 I -1
25861 I -1
26027 I -1
26179 I -1
26304 I -1
26364 I -1
26628 I -1
26664 I -1
26730 I -1
26784 I -1
26832 I -1
26898 I -1
26958 I -1
27078 I -1
27192 I -1
27258 I -1
27312 I -1
27384 I -1
27474 I -1
27510 I -1
27576 I -1
27756 I -1
27876 I -1
27924 I -1
28015 I -1
28110 I -1
28332 I -1
28470 I -1
28506 I -1
28752 I -1
28908 I -1
28974 I -1
29034 I -1
29136 I -1
29227 I -1
29289 I -1
29412 I -1
29460 I -1
29512 I -1
29558 I -1
29596 I -1
29740 I -1
29810 I -1
29912 I -1
29921 I -1
30059 I -1
30155 I -1
30263 I -1
30335 I -1
30407 I -1
30501 I -1
30591 I -1
30768 I -1
30876 I -1
30924 I -1
30972 I -1
31020 I -1
31159 I -1
31207 I -1
31237 I -1
31261 I -1
31399 I -1
31471 I -1
31621 I -1
31675 I -1
31747 I -1
31888 I -1
31927 I -1
31935 I -1
31941 I -1
31950 I -1
31960 I -1
31965 I -1
33237 I -1
33726 I -1
33738 I -1
33767 I -1
33857 I -1
34045 I -1
