# keyframe format v1
fps 0

0 I -1
29 I -1
57 I -1
173 I -1
329 I -1
389 I -1
392 I -1
395 I -1
398 I -1
410 I -1
471 I -1
555 I -1
627 I -1
705 I -1
744 I -1
839 I -1
869 I -1
882 I -1
902 I -1
938 I -1
1058 I -1
1094 I -1
1181 I -1
1274 I -1
1394 I -1
1544 I -1
1629 I -1
1723 I -1
1801 I -1
1861 I -1
1978 I -1
2044 I -1
2146 I -1
2254 I -1
2557 I -1
2629 I -1
2671 I -1
2710 I -1
2740 I -1
2767 I -1
2803 I -1
2829 I -1
2845 I -1
2893 I -1
2933 I -1
2934 I -1
2935 I -1
2936 I -1
2956 I -1
2995 I -1
3059 I -1
3079 I -1
3128 I -1
3135 I -1
3184 I -1
3261 I -1
3433 I -1
3463 I -1
3502 I -1
3523 I -1
3550 I -1
3588 I -1
3604 I -1
3640 I -1
3730 I -1
3820 I -1
3919 I -1
3961 I -1
4013 I -1
4068 I -1
4158 I -1
4239 I -1
4287 I -1
4411 I -1
4514 I -1
4699 I -1
4833 I -1
4851 I -1
5107 I -1
5119 I -1
5125 I -1
5185 I -1
5207 I -1
5227 I -1
5272 I -1
5380 I -1
5611 I -1
5738 I -1
5794 I -1
5811 I -1
5968 I -1
6049 I -1
6103 I -1
6331 I -1
6495 I -1
6511 I -1
6619 I -1
6665 I -1
6688 I -1
6796 I -1
6838 I -1
6865 I -1
6913 I -1
6953 I -1
7013 I -1
7115 I -1
7169 I -1
7253 I -1
7301 I -1
7373 I -1
7565 I -1
7659 I -1
7814 I -1
7958 I -1
8006 I -1
8088 I -1
8132 I -1
8188 I -1
8218 I -1
8253 I -1
8298 I -1
8330 I -1
8378 I -1
8438 I -1
8474 I -1
8501 I -1
8510 I -1
8527 I -1
8566 I -1
8632 I -1
8668 I -1
8812 I -1
8878 I -1
8898 I -1
8920 I -1
8938 I -1
8977 I -1
8978 I -1
8982 I -1
9095 I -1
9150 I -1
9189 I -1
9213 I -1
9261 I -1
9362 I -1
9366 I -1
9408 I -1
9425 I -1
9461 I -1
9491 I -1
9557 I -1
9617 I -1
9648 I -1
9696 I -1
9718 I -1
9726 I -1
9765 I -1
9805 I -1
9832 I -1
9833 I -1
9840 I -1
9859 I -1
9930 I -1
9931 I -1
10014 I -1
10108 I -1
10231 I -1
10324 I -1
10471 I -1
10495 I -1
10858 I -1
10903 I -1
11113 I -1
11149 I -1
11197 I -1
11805 I -1
11883 I -1
12009 I -1
12224 I -1
12277 I -1
12383 I -1
12485 I -1
12641 I -1
12923 I -1
12992 I -1
13130 I -1
13250 I -1
13298 I -1
13355 I -1
13403 I -1
13514 I -1
13622 I -1
13685 I -1
13781 I -1
13883 I -1
13979 I -1
14111 I -1
14159 I -1
14222 I -1
14367 I -1
14441 I -1
14465 I -1
14531 I -1
14794 I -1
14826 I -1
14897 I -1
15258 I -1
15346 I -1
15508 I -1
15553 I -1
15595 I -1
15955 I -1
16021 I -1
16058 I -1
16202 I -1
16280 I -1
16418 I -1
16574 I -1
16826 I -1
16922 I -1
17174 I -1
17264 I -1
17358 I -1
17478 I -1
17551 I -1
17587 I -1
17891 I -1
17941 I -1
17943 I -1
18101 I -1
18143 I -1
18145 I -1
18149 I -1
18185 I -1
18243 I -1
18504 I -1
18666 I -1
18945 I -1
19085 I -1
19124 I -1
19468 I -1
19731 I -1
19882 I -1
20197 I -1
20262 I -1
20329 I -1
20468 I -1
20771 I -1
20861 I -1
21158 I -1
21290 I -1
21545 I -1
21918 I -1
22026 I -1
22314 I -1
22384 I -1
22468 I -1
22528 I -1
22642 I -1
22767 I -1
22863 I -1
22903 I -1
22938 I -1
23058 I -1
23190 I -1
23262 I -1
23526 I -1
23568 I -1
23692 I -1
23770 I -1
23818 I -1
24022 I -1
24057 I -1
24177 I -1
24280 I -1
24340 I -1
24388 I -1
24514 I -1
24610 I -1
24742 I -1
24781 I -1
25153 I -1
25213 I -1
25459 I -1
25669 I -1
25687 I -1
25729 I -1
25858 I -1
25930 I -1
26076 I -1
26215 I -1
26377 I -1
26437 I -1
26479 I -1
26605 I -1
26641 I -1
26707 I -1
27070 I -1
27142 I -1
27220 I -1
27352 I -1
27406 I -1
27459 I -1
27531 I -1
27582 I -1
27633 I -1
27696 I -1
27744 I -1
27822 I -1
27870 I -1
27906 I -1
27948 I -1
28092 I -1
28219 I -1
28333 I -1
28513 I -1
28659 I -1
28756 I -1
28816 I -1
28912 I -1
28960 I -1
29033 I -1
29141 I -1
29177 I -1
29213 I -1
29249 I -1
29285 I -1
29340 I -1
29393 I -1
29425 I -1
29489 I -1
29549 I -1
29570 I -1
29711 I -1
29837 I -1
29885 I -1
29933 I -1
30029 I -1
30121 I -1
30173 I -1
30461 I -1
30560 I -1
30764 I -1
30917 I -1
30996 I -1
31259 I -1
31414 I -1
31510 I -1
31720 I -1
31780 I -1
31888 I -1
31927 I -1
31935 I -1
31941 I -1
31944 I -1
31950 I -1
31960 I -1
31965 I -1
33726 I -1
33738 I -1
33767 I -1
33857 I -1
34045 I -1
