# keyframe format v1
fps 0

0 I -1
1 I -1
86 I -1
134 I -1
293 I -1
377 I -1
562 I -1
608 I -1
751 I -1
1021 I -1
1129 I -1
1319 I -1
1399 I -1
1445 I -1
1631 I -1
1662 I -1
1739 I -1
1831 I -1
1933 I -1
2077 I -1
2185 I -1
2275 I -1
2326 I -1
2629 I -1
2701 I -1
2743 I -1
2782 I -1
2812 I -1
2839 I -1
2875 I -1
2901 I -1
2917 I -1
2965 I -1
3005 I -1
3006 I -1
3007 I -1
3008 I -1
3028 I -1
3067 I -1
3131 I -1
3151 I -1
3200 I -1
3207 I -1
3256 I -1
3333 I -1
3505 I -1
3535 I -1
3574 I -1
3595 I -1
3622 I -1
3660 I -1
3676 I -1
3712 I -1
3802 I -1
3892 I -1
3991 I -1
4033 I -1
4085 I -1
4140 I -1
4230 I -1
4311 I -1
4359 I -1
4483 I -1
4568 I -1
4774 I -1
4858 I -1
4966 I -1
5002 I -1
5092 I -1
5164 I -1
5180 I -1
5248 I -1
5296 I -1
5386 I -1
5472 I -1
5613 I -1
5709 I -1
5778 I -1
5838 I -1
5934 I -1
6024 I -1
6044 I -1
6128 I -1
6212 I -1
6434 I -1
6666 I -1
6936 I -1
6996 I -1
7032 I -1
7188 I -1
7191 I -1
7197 I -1
7236 I -1
7238 I -1
7290 I -1
7320 I -1
7362 I -1
7476 I -1
7572 I -1
7620 I -1
7718 I -1
7838 I -1
7944 I -1
8111 I -1
8197 I -1
8293 I -1
8343 I -1
8439 I -1
8596 I -1
8740 I -1
8824 I -1
8860 I -1
8908 I -1
9004 I -1
9136 I -1
9412 I -1
9555 I -1
9600 I -1
9666 I -1
9750 I -1
9906 I -1
10074 I -1
10380 I -1
10446 I -1
10632 I -1
10716 I -1
10836 I -1
11012 I -1
11063 I -1
11093 I -1
11156 I -1
11251 I -1
11374 I -1
11427 I -1
11499 I -1
11560 I -1
11678 I -1
11738 I -1
11818 I -1
11825 I -1
11858 I -1
11906 I -1
12000 I -1
12010 I -1
12178 I -1
12310 I -1
12494 I -1
12623 I -1
12641 I -1
12685 I -1
12966 I -1
13050 I -1
13206 I -1
13254 I -1
13290 I -1
13336 I -1
13679 I -1
13787 I -1
13962 I -1
14004 I -1
14064 I -1
14196 I -1
14430 I -1
14550 I -1
14673 I -1
14703 I -1
14745 I -1
14787 I -1
14974 I -1
15016 I -1
15208 I -1
15328 I -1
15424 I -1
15484 I -1
15532 I -1
15748 I -1
15976 I -1
16225 I -1
16303 I -1
16629 I -1
16815 I -1
16875 I -1
16897 I -1
16957 I -1
17029 I -1
17077 I -1
17170 I -1
17257 I -1
17367 I -1
17449 I -1
17580 I -1
17757 I -1
17859 I -1
17895 I -1
17943 I -1
17948 I -1
18012 I -1
18126 I -1
18318 I -1
18438 I -1
18472 I -1
18503 I -1
18585 I -1
18663 I -1
18747 I -1
18813 I -1
18895 I -1
19159 I -1
19219 I -1
19291 I -1
19471 I -1
19561 I -1
19693 I -1
19819 I -1
19898 I -1
20059 I -1
20120 I -1
20192 I -1
20211 I -1
20234 I -1
20291 I -1
20309 I -1
20330 I -1
20348 I -1
20408 I -1
20564 I -1
20618 I -1
20683 I -1
20810 I -1
20882 I -1
21116 I -1
21404 I -1
21595 I -1
21631 I -1
21727 I -1
21802 I -1
21844 I -1
21937 I -1
22009 I -1
22069 I -1
22117 I -1
22195 I -1
22478 I -1
22543 I -1
22657 I -1
22705 I -1
22801 I -1
22939 I -1
22975 I -1
23023 I -1
23256 I -1
23475 I -1
23605 I -1
23735 I -1
23952 I -1
24228 I -1
24264 I -1
24300 I -1
24336 I -1
24396 I -1
24435 I -1
24519 I -1
24831 I -1
24927 I -1
24987 I -1
25113 I -1
25164 I -1
25166 I -1
25203 I -1
25229 I -1
25277 I -1
25337 I -1
25463 I -1
25680 I -1
25716 I -1
25864 I -1
25972 I -1
26055 I -1
26089 I -1
26144 I -1
26192 I -1
26419 I -1
26522 I -1
26525 I -1
26548 I -1
26551 I -1
26574 I -1
26609 I -1
26747 I -1
26855 I -1
27131 I -1
27220 I -1
27328 I -1
27400 I -1
27610 I -1
27679 I -1
27793 I -1
27865 I -1
27997 I -1
28165 I -1
28213 I -1
28381 I -1
28429 I -1
28573 I -1
28717 I -1
28741 I -1
28769 I -1
28789 I -1
28813 I -1
28969 I -1
29041 I -1
29119 I -1
29245 I -1
29449 I -1
29539 I -1
29617 I -1
29797 I -1
29875 I -1
29935 I -1
30103 I -1
30175 I -1
30241 I -1
30295 I -1
30451 I -1
30535 I -1
30595 I -1
30690 I -1
30732 I -1
31012 I -1
31144 I -1
31240 I -1
31300 I -1
31522 I -1
31540 I -1
31624 I -1
31684 I -1
31744 I -1
31786 I -1
31888 I -1
31927 I -1
31935 I -1
31941 I -1
31944 I -1
31950 I -1
31960 I -1
31965 I -1
33726 I -1
33738 I -1
33767 I -1
33857 I -1
34045 I -1
