# keyframe format v1
fps 0

0 I -1
119 I -1
215 I -1
334 I -1
430 I -1
646 I -1
760 I -1
898 I -1
1006 I -1
1042 I -1
1050 I -1
1078 I -1
1294 I -1
1537 I -1
1569 I -1
1615 I -1
1819 I -1
1996 I -1
2047 I -1
2064 I -1
2181 I -1
2365 I -1
2496 I -1
2589 I -1
2664 I -1
2673 I -1
2679 I -1
2685 I -1
2702 I -1
2703 I -1
2709 I -1
2805 I -1
2977 I -1
3069 I -1
3103 I -1
3105 I -1
3131 I -1
3214 I -1
3340 I -1
3580 I -1
3623 I -1
3790 I -1
3923 I -1
3938 I -1
4189 I -1
4442 I -1
4465 I -1
4533 I -1
4605 I -1
4683 I -1
4741 I -1
4896 I -1
5047 I -1
5265 I -1
5513 I -1
5619 I -1
5859 I -1
5929 I -1
6061 I -1
6070 I -1
6123 I -1
6356 I -1
6503 I -1
6533 I -1
6880 I -1
7012 I -1
7074 I -1
7203 I -1
7344 I -1
7384 I -1
7388 I -1
7390 I -1
7418 I -1
7464 I -1
7585 I -1
7717 I -1
7827 I -1
7905 I -1
8088 I -1
8118 I -1
8304 I -1
8328 I -1
8412 I -1
8502 I -1
8538 I -1
8541 I -1
8598 I -1
8658 I -1
8925 I -1
8954 I -1
9056 I -1
9302 I -1
9446 I -1
9626 I -1
9692 I -1
9706 I -1
9710 I -1
9776 I -1
9848 I -1
9884 I -1
9920 I -1
9956 I -1
9992 I -1
10030 I -1
10031 I -1
10036 I -1
10042 I -1
10043 I -1
10148 I -1
10262 I -1
10382 I -1
10526 I -1
10558 I -1
10625 I -1
10721 I -1
10793 I -1
10889 I -1
10997 I -1
11045 I -1
11111 I -1
11177 I -1
11300 I -1
11384 I -1
11456 I -1
11528 I -1
11624 I -1
11758 I -1
11840 I -1
11900 I -1
12028 I -1
12136 I -1
12208 I -1
12292 I -1
12412 I -1
12468 I -1
12487 I -1
12535 I -1
12560 I -1
12656 I -1
12801 I -1
12837 I -1
12885 I -1
12921 I -1
13017 I -1
13175 I -1
13271 I -1
13343 I -1
13421 I -1
13505 I -1
13537 I -1
13645 I -1
13675 I -1
13718 I -1
13818 I -1
13866 I -1
13890 I -1
14103 I -1
14211 I -1
14252 I -1
14294 I -1
14300 I -1
14312 I -1
14336 I -1
14432 I -1
14492 I -1
14516 I -1
14588 I -1
14756 I -1
14996 I -1
15107 I -1
15122 I -1
15164 I -1
15260 I -1
15356 I -1
15608 I -1
15728 I -1
15729 I -1
15739 I -1
15777 I -1
15897 I -1
15939 I -1
16151 I -1
16294 I -1
16378 I -1
16660 I -1
16812 I -1
16858 I -1
16943 I -1
17039 I -1
17121 I -1
17192 I -1
17279 I -1
17399 I -1
17521 I -1
17591 I -1
17642 I -1
17780 I -1
17938 I -1
17971 I -1
18297 I -1
18360 I -1
18461 I -1
18637 I -1
18695 I -1
18875 I -1
18923 I -1
19256 I -1
19307 I -1
19366 I -1
19490 I -1
19693 I -1
19857 I -1
19912 I -1
20044 I -1
20146 I -1
20182 I -1
20272 I -1
20383 I -1
20449 I -1
20629 I -1
20665 I -1
20695 I -1
20725 I -1
20773 I -1
20869 I -1
20982 I -1
21022 I -1
21104 I -1
21243 I -1
21330 I -1
21382 I -1
21486 I -1
21557 I -1
21605 I -1
21713 I -1
21804 I -1
21807 I -1
21837 I -1
22042 I -1
22180 I -1
22292 I -1
22334 I -1
22382 I -1
22410 I -1
22458 I -1
22590 I -1
22673 I -1
22676 I -1
22748 I -1
22815 I -1
22923 I -1
23017 I -1
23107 I -1
23317 I -1
23335 I -1
23434 I -1
23516 I -1
23689 I -1
23819 I -1
23873 I -1
24113 I -1
24161 I -1
24221 I -1
24226 I -1
24227 I -1
24228 I -1
24229 I -1
24325 I -1
24361 I -1
24429 I -1
24501 I -1
24612 I -1
24784 I -1
24858 I -1
24950 I -1
25083 I -1
25264 I -1
25343 I -1
25488 I -1
25587 I -1
25615 I -1
25771 I -1
26037 I -1
26106 I -1
26127 I -1
26151 I -1
26223 I -1
26312 I -1
26342 I -1
26489 I -1
26566 I -1
26824 I -1
26980 I -1
27040 I -1
27114 I -1
27166 I -1
27330 I -1
27456 I -1
27528 I -1
27564 I -1
27597 I -1
27630 I -1
27813 I -1
27957 I -1
27992 I -1
28250 I -1
28276 I -1
28304 I -1
28376 I -1
28572 I -1
28636 I -1
28744 I -1
28838 I -1
28928 I -1
29000 I -1
29072 I -1
29096 I -1
29192 I -1
29258 I -1
29306 I -1
29391 I -1
29409 I -1
29523 I -1
29601 I -1
29625 I -1
29649 I -1
29651 I -1
29659 I -1
29709 I -1
29781 I -1
29811 I -1
29859 I -1
29951 I -1
30005 I -1
30077 I -1
30092 I -1
30116 I -1
30165 I -1
30180 I -1
30198 I -1
30240 I -1
30282 I -1
30286 I -1
30504 I -1
30588 I -1
30630 I -1
30762 I -1
30816 I -1
30876 I -1
30953 I -1
31079 I -1
31151 I -1
31265 I -1
31292 I -1
31327 I -1
31543 I -1
31687 I -1
31897 I -1
31975 I -1
32113 I -1
32185 I -1
32257 I -1
32317 I -1
32384 I -1
32483 I -1
32493 I -1
32511 I -1
32583 I -1
32655 I -1
32769 I -1
32853 I -1
33027 I -1
33087 I -1
35244 I -1
